datetime,n_neurons,activation,optimizer,train_acc,train_loss,valid_acc,valid_loss,checkpoint
2025-03-27_23-50-32,16,sigmoid,adam,0.9615384340286255,0.8535175919532776,0.9375,0.8687288761138916,model_16_sigmoid_adam_1.keras
2025-03-27_23-50-38,16,sigmoid,adam,0.9038461446762085,0.6774078011512756,0.9375,0.7096564173698425,model_16_sigmoid_adam_2.keras
2025-03-27_23-50-42,16,relu,sgd,0.875,0.4796154201030731,0.875,0.5553426742553711,model_16_relu_sgd.keras
2025-03-27_23-50-47,16,relu,sgd,0.8461538553237915,0.5815019607543945,0.9375,0.5713801383972168,model_16_relu_sgd_1.keras
2025-03-27_23-50-52,16,relu,sgd,0.8461538553237915,0.4296397864818573,0.9375,0.4497469365596771,model_16_relu_sgd_2.keras
2025-03-27_23-50-57,16,relu,rmsprop,0.8653846383094788,0.45983874797821045,0.9375,0.5260752439498901,model_16_relu_rmsprop.keras
2025-03-27_23-51-02,16,relu,rmsprop,0.9230769276618958,0.349464476108551,0.8125,0.625408411026001,model_16_relu_rmsprop_1.keras
2025-03-27_23-51-07,16,relu,rmsprop,0.8365384340286255,0.4874919354915619,0.9375,0.502896785736084,model_16_relu_rmsprop_2.keras
2025-03-27_23-51-12,16,relu,adam,0.8653846383094788,0.3228350281715393,0.9375,0.4431118071079254,model_16_relu_adam.keras
2025-03-27_23-51-17,16,relu,adam,0.8269230723381042,0.6595110297203064,0.875,0.7615338563919067,model_16_relu_adam_1.keras
2025-03-27_23-51-23,16,relu,adam,0.8846153616905212,0.7182803750038147,0.875,0.7435703277587891,model_16_relu_adam_2.keras
2025-03-27_23-51-27,32,sigmoid,sgd,0.9519230723381042,0.6791430115699768,0.9375,0.714453935623169,model_32_sigmoid_sgd.keras
2025-03-27_23-51-33,32,sigmoid,sgd,0.9038461446762085,0.7732844948768616,0.875,0.8032333254814148,model_32_sigmoid_sgd_1.keras
2025-03-27_23-51-38,32,sigmoid,sgd,0.9038461446762085,0.8114613890647888,0.9375,0.8321965932846069,model_32_sigmoid_sgd_2.keras
2025-03-27_23-51-42,32,sigmoid,rmsprop,0.9038461446762085,0.6207252144813538,0.9375,0.6619632244110107,model_32_sigmoid_rmsprop.keras
2025-03-27_23-51-47,32,sigmoid,rmsprop,0.9519230723381042,0.7947272062301636,0.9375,0.8248751759529114,model_32_sigmoid_rmsprop_1.keras
2025-03-27_23-51-53,32,sigmoid,rmsprop,0.9230769276618958,0.49164634943008423,0.875,0.5516057014465332,model_32_sigmoid_rmsprop_2.keras
2025-03-27_23-51-57,32,sigmoid,adam,0.942307710647583,0.6605876088142395,0.9375,0.6998167634010315,model_32_sigmoid_adam.keras
2025-03-27_23-52-03,32,sigmoid,adam,0.9038461446762085,0.7601979374885559,0.9375,0.7652391195297241,model_32_sigmoid_adam_1.keras
2025-03-27_23-52-08,32,sigmoid,adam,0.9903846383094788,0.1536177098751068,0.9375,0.29565930366516113,model_32_sigmoid_adam_2.keras
2025-03-27_23-52-13,32,relu,sgd,0.7884615659713745,0.6837780475616455,0.875,0.7090669870376587,model_32_relu_sgd.keras
2025-03-27_23-52-18,32,relu,sgd,0.7307692170143127,0.8564649820327759,0.9375,0.7712861895561218,model_32_relu_sgd_1.keras
2025-03-27_23-52-23,32,relu,sgd,0.817307710647583,0.5316001772880554,1.0,0.47976920008659363,model_32_relu_sgd_2.keras
2025-03-27_23-52-27,32,relu,rmsprop,0.7884615659713745,0.5772569179534912,0.9375,0.5736938714981079,model_32_relu_rmsprop.keras
2025-03-27_23-52-33,32,relu,rmsprop,0.807692289352417,0.727368950843811,0.9375,0.6338845491409302,model_32_relu_rmsprop_1.keras
2025-03-27_23-52-38,32,relu,rmsprop,0.8365384340286255,0.7834668755531311,0.9375,0.7468048334121704,model_32_relu_rmsprop_2.keras
2025-03-27_23-52-43,32,relu,adam,0.7307692170143127,0.9439395070075989,0.875,0.9189687371253967,model_32_relu_adam.keras
2025-03-27_23-52-48,32,relu,adam,0.8365384340286255,0.6721458435058594,0.9375,0.6653931736946106,model_32_relu_adam_1.keras
2025-03-27_23-52-53,32,relu,adam,0.8557692170143127,0.34502655267715454,0.875,0.3758379817008972,model_32_relu_adam_2.keras
